ID,Question,Category,Expected_Answer_Source,Expected_Answer,Answer_Type,Evaluation_Metric
Q15,Find all compliance requirements for third-party contracts.,Document Retrieval,third_party_policy.pdf,"Due diligence, legal vetting, conflict of interest declaration, and data protection clauses.",List,Retrieval accuracy
Q16,If an employee shares client data on a personal device which compliance policy is violated?,Scenario,data_protection_policy.pdf,"It violates the data protection and IT usage policies.",Reasoning,Groundedness
Q17,A company delays annual financial reporting — which act or regulation does this breach?,Scenario,companies_act_2013.pdf,"It breaches Section 137 of the Companies Act 2013.",Reasoning,Groundedness
Q18,If a vendor is based in the EU and collects user emails which compliance framework applies?,Scenario,gdpr_summary.pdf,"The GDPR framework applies to all EU-based data controllers and processors.",Reasoning,Groundedness
Q19,What should a compliance officer do if they discover policy violations during an audit?,Scenario,internal_audit_policy.pdf,"Report the issue to management and initiate corrective action.",Procedural,Groundedness
Q20,If the compliance training was missed by an employee how should the HR department handle it?,Scenario,hr_policy.pdf,"The HR department must reschedule and ensure completion within a week.",Procedural,Groundedness
Q21,How can a compliance officer log and track incidents using the Compliance Oracle dashboard?,Procedural,system_user_guide.md,"By navigating to the “Incidents” tab and using the “Add New Log” option.",Procedural,Exact match
Q22,What steps are followed in the compliance review workflow?,Procedural,review_workflow.md,"Document submission → Initial review → Risk assessment → Approval → Record.",Procedural,Groundedness
Q23,How does the system alert users of compliance breaches?,Procedural,system_alerts_config.yaml,"It sends automated email and dashboard notifications.",Procedural,Exact match
Q24,How can I update the compliance checklist for a specific department?,Procedural,admin_dashboard_guide.md,"Use the admin panel under “Compliance Checklists” and select department-specific edit.",Procedural,Groundedness
Q25,How to verify if a document meets the mandatory compliance criteria before submission?,Procedural,document_validation_guide.md,"Use the validation tool to check required fields and metadata tags.",Procedural,Groundedness
Q26,Compare the data retention policies under GDPR and the Indian DPDP Act.,Analytical,dpdp_vs_gdpr_comparison.pdf,"GDPR allows data storage only as long as necessary; DPDP also limits retention to purpose fulfillment.",Comparative,Groundedness
Q27,Analyze how compliance automation reduces manual effort in reporting.,Analytical,compliance_automation_whitepaper.pdf,"Automation reduces redundancy, improves audit traceability, and minimizes errors.",Analytical,Semantic similarity
Q28,What metrics can be used to evaluate the effectiveness of a compliance program?,Analytical,compliance_metrics_report.pdf,"Number of incidents, audit success rate, and policy adherence score.",List,Exact match
Q29,How can RAG-based retrieval help in identifying policy gaps?,Analytical,rag_architecture_overview.md,"By comparing retrieved documents across policies and detecting missing or conflicting clauses.",Analytical,Groundedness
Q30,How does AI enhance compliance monitoring in large organizations?,Analytical,ai_in_compliance.pdf,"AI enables pattern detection and real-time anomaly reporting in compliance workflows.",Analytical,Groundedness
Q31,How does Compliance Oracle handle document ingestion and indexing?,System,rag_pipeline_overview.md,"Documents are chunked, embedded, and indexed using a vector store for retrieval.",Technical,Exact match
Q32,Can the RAG model answer questions across multiple regulatory domains?,System,rag_pipeline_overview.md,"Yes, it can retrieve and synthesize answers across different indexed domains.",Technical,Groundedness
Q33,What format should I upload documents in for the knowledge base?,System,doc_upload_guide.md,"PDF and text files are supported; DOCX is auto-converted.",Factual,Exact match
Q34,How does Compliance Oracle ensure up-to-date information from the knowledge base?,System,knowledge_refresh_process.md,It reindexes documents automatically on each update cycle.",Technical,Groundedness
Q35,What kind of metadata is stored along with each compliance document?,System,document_schema.yaml,"Title, author, source, date of update, and embedding vector ID.",Technical,Exact match
Q36,What happens if a user queries a document that is not in the knowledge base?,Edge Case,rag_fallback_logic.py,"The system returns a fallback message and logs the query for review.",Technical,Groundedness
Q37,How does the model deal with conflicting information across multiple policies?,Edge Case,rag_conflict_resolution.md,"It prioritizes the most recent or highest-ranked source by confidence.",Analytical,Groundedness
Q38,What is the fallback response when the RAG system has low confidence?,Edge Case,rag_pipeline_overview.md,"It displays a disclaimer and suggests document references for manual review.",Technical,Exact match
Q39,How are duplicate compliance documents handled during data ingestion?,Edge Case,data_cleaning_pipeline.py,"Duplicate files are detected by hash comparison and merged or removed.",Technical,Exact match
Q40,If two documents have the same title but different content which one does the system use?,Edge Case,rag_indexing_strategy.md,"The version with the latest timestamp or highest relevance is indexed.",Technical,Groundedness
